Date,Open,High,Low,Close,Adj Close,Volume
2020-05-21,90.269997,91.760002,89.66999799999999,90.16999799999999,87.331787,14621400
2020-05-22,90.010002,90.360001,88.720001,89.470001,86.65383100000001,13557900
2020-05-26,92.889999,97.5,92.610001,95.82,92.803955,41233900
2020-05-27,102.07,102.58000200000001,98.800003,101.370003,98.17926800000001,39402000
2020-05-28,102.940002,102.949997,99.400002,99.860001,96.716789,24713900
2020-05-29,98.660004,99.18,96.779999,97.309998,94.247055,26538200
2020-06-01,97.75,99.510002,97.379997,98.599998,95.496445,15176800
2020-06-02,100.279999,100.41999799999999,97.93,98.93,95.816063,21195000
2020-06-03,101.58000200000001,104.91999799999999,101.059998,104.269997,100.987976,25941100
2020-06-04,103.82,106.610001,102.790001,106.440002,103.08968399999999,26784700
2020-06-05,114.93,115.769997,109.529999,111.230003,107.72891200000001,42231000
2020-06-08,113.410004,114.190002,111.940002,113.449997,109.87901299999999,24881800
2020-06-09,110.650002,111.629997,109.010002,110.540001,107.060616,17031100
2020-06-10,110.459999,110.510002,105.849998,106.059998,102.721634,24913300
2020-06-11,100.029999,101.58000200000001,96.540001,97.209999,94.1502,36259200
2020-06-12,100.709999,101.129997,97.33000200000001,99.870003,96.72647099999999,24856800
2020-06-15,96.41999799999999,101.43,95.870003,101.25,98.063034,22153600
2020-06-16,105.370003,105.68,99.309998,102.059998,98.847534,22193600
2020-06-17,102.529999,102.540001,99.209999,99.480003,96.348747,15639800
2020-06-18,98.66999799999999,100.519997,98.129997,98.940002,95.825745,16591900
2020-06-19,100.529999,100.599998,96.730003,97.809998,94.731316,40371200
2020-06-22,97.25,97.949997,96.540001,96.75,93.704674,16216900
2020-06-23,98.970001,99.970001,97.849998,97.93,94.847534,15381400
2020-06-24,96.75,96.839996,94.309998,94.660004,91.68046600000001,22919800
2020-06-25,94.349998,98.209999,94.260002,97.959999,94.876595,25743600
2020-06-26,95.110001,95.370003,92.0,92.589996,89.67562099999999,41896300
2020-06-29,93.400002,94.489998,92.18,93.0,90.072716,18499700
2020-06-30,92.83000200000001,94.660004,92.57,94.059998,91.09935,19137000
2020-07-01,94.889999,95.709999,93.029999,93.260002,90.32453199999999,18755700
2020-07-02,94.739998,94.959999,91.93,92.660004,90.61792,27845600
2020-07-06,94.43,95.199997,93.480003,95.0,92.906349,18625300
2020-07-07,93.82,94.099998,92.0,92.32,90.285416,25757200
2020-07-08,92.290001,93.339996,91.800003,93.300003,91.24382,18762200
2020-07-09,93.519997,94.120003,90.779999,91.279999,89.268333,25600800
2020-07-10,92.0,96.839996,91.870003,96.269997,94.148361,28954200
2020-07-13,98.730003,99.269997,96.230003,97.650002,95.497955,32079200
2020-07-14,98.370003,99.949997,96.639999,98.209999,96.045609,42731700
2020-07-15,100.889999,101.290001,98.650002,99.730003,97.53211999999999,22508400
2020-07-16,98.779999,101.220001,98.550003,100.010002,97.805939,16886900
2020-07-17,100.0,100.08000200000001,98.139999,98.160004,95.996712,16137700
2020-07-20,97.43,98.389999,97.260002,97.300003,95.155663,14458100
2020-07-21,97.709999,100.050003,97.639999,99.410004,97.219162,17812300
2020-07-22,99.650002,100.129997,97.529999,98.690002,96.51503000000001,14271200
2020-07-23,98.5,99.349998,97.970001,98.980003,96.798637,12870200
2020-07-24,99.599998,99.800003,97.940002,98.279999,96.114067,12744200
2020-07-27,97.510002,97.629997,96.16999799999999,96.900002,94.764481,11959100
2020-07-28,96.5,97.889999,96.5,97.32,95.175217,11754300
2020-07-29,97.07,99.709999,97.0,99.68,97.483215,12743500
2020-07-30,97.540001,97.739998,96.050003,97.019997,94.881828,14834800
2020-07-31,96.480003,96.93,95.25,96.639999,94.51020799999999,14539500
2020-08-03,97.019997,97.57,95.849998,96.099998,93.982109,12962800
2020-08-04,95.910004,95.949997,95.029999,95.550003,93.444237,13366200
2020-08-05,95.870003,98.470001,95.720001,97.209999,95.067642,15349700
2020-08-06,97.58000200000001,98.099998,96.540001,97.239998,95.096985,10482100
2020-08-07,96.93,99.489998,96.559998,99.379997,97.18982700000001,14743700
2020-08-10,100.110001,102.040001,100.029999,100.639999,98.42205799999999,14989900
2020-08-11,103.860001,106.160004,103.510002,103.82,101.53196700000001,31518600
2020-08-12,106.160004,106.43,101.709999,102.940002,100.671364,19250200
2020-08-13,102.0,103.360001,101.639999,102.370003,100.11393000000001,13598600
2020-08-14,101.5,103.309998,101.41999799999999,102.410004,100.153053,12134400
2020-08-17,101.5,102.0,99.529999,99.709999,97.51255,14988000
2020-08-18,99.910004,99.910004,98.120003,98.32,96.153183,13246500
2020-08-19,98.91999799999999,100.589996,98.339996,98.550003,96.37812,13533000
2020-08-20,97.260002,98.029999,96.800003,97.370003,95.224129,13672600
2020-08-21,97.269997,98.57,96.940002,97.32,95.175217,12228300
2020-08-24,98.449997,100.209999,97.41999799999999,100.059998,97.85483599999999,17898300
2020-08-25,101.269997,101.980003,99.800003,100.5,98.285149,13648900
2020-08-26,99.940002,100.269997,99.050003,99.089996,96.906212,12052400
2020-08-27,99.0,102.650002,99.0,102.349998,100.094368,22163900
2020-08-28,103.139999,103.25,101.809998,102.769997,100.505112,13756700
2020-08-31,102.120003,102.18,100.019997,100.190002,97.98197900000001,14219400
2020-09-01,99.550003,100.870003,99.040001,100.139999,97.93306700000001,11602100
2020-09-02,99.949997,101.940002,99.559998,101.650002,99.409798,14475700
2020-09-03,103.32,104.989998,100.639999,101.33000200000001,99.096855,23281200
2020-09-04,104.050003,105.209999,101.370003,103.519997,101.238586,26325500
2020-09-08,102.980003,103.57,99.480003,99.91999799999999,97.71791800000001,22108600
2020-09-09,100.800003,101.690002,99.559998,100.870003,98.64698800000001,13434000
